strategy,split,year,return,max_drawdown_within_year,average_exposure
daily_rank_no_touch_10_time2,train,2022,-0.6240992729872284,-0.6211847336388436,0.8818171163383498
daily_rank_no_touch_10_time2,train,2023,-0.4041523216603924,-0.47012068424961195,0.853901204769109
daily_rank_no_touch_10_time2,train,2024,-0.333346004609992,-0.4219509135092073,0.8187586124281915
daily_rank_no_touch_10_time2,test,2025,-0.0647294958407022,-0.2761729332169448,0.9197340261495655
daily_rank_no_touch_10_time2,test,2026,-0.3344430334330558,-0.4320689501280478,0.8593530972690889
daily_breakout_2_time1,train,2021,-0.4936970272819997,-0.503682962038982,0.9484544487512694
daily_breakout_2_time1,train,2022,-0.6936253544207471,-0.7024409535788286,0.95063041122544
daily_breakout_2_time1,train,2023,-0.7326167204120229,-0.759868973596642,0.8663710932029219
daily_breakout_2_time1,train,2024,-0.6852949414292197,-0.6807758291558161,0.7687434392243764
daily_breakout_2_time1,test,2025,0.04953623131650153,-0.5298595634192774,0.9438118262843791
daily_breakout_2_time1,test,2026,-0.5419944225766877,-0.6256275891437235,0.9607980380810581
daily_breakout_2_time2,train,2021,-0.07751713937600158,-0.4248415554376175,0.7363081361817149
daily_breakout_2_time2,train,2022,-0.6668661974163695,-0.6788677104051253,0.7816536961172329
daily_breakout_2_time2,train,2023,-0.5459796050640058,-0.6404673745976601,0.8082845220916486
daily_breakout_2_time2,train,2024,-0.4575973643919762,-0.506834297268803,0.7700959021018537
daily_breakout_2_time2,test,2025,1.6061701418377972,-0.25203947797394377,0.7700910184944404
daily_breakout_2_time2,test,2026,-0.11887862366127921,-0.3272948968806234,0.6873086467245536
daily_breakout_2_time3,train,2021,-0.4928699572020011,-0.5072945581706155,0.7460980108132179
daily_breakout_2_time3,train,2022,-0.6349094403157907,-0.6558121646236461,0.7655904710760411
daily_breakout_2_time3,train,2023,-0.6876061012682348,-0.7238097985100137,0.7912076137560118
daily_breakout_2_time3,train,2024,-0.5551044509947927,-0.5836954209699876,0.6948653434279509
daily_breakout_2_time3,test,2025,0.5202550947845961,-0.3110631205319141,0.7621948232770163
daily_breakout_2_time3,test,2026,0.40089851343524097,-0.14957718626186078,0.6832967710806325
daily_breakout_2_time5,train,2021,0.014632934962800492,-0.2491277445752531,0.73801539764743
daily_breakout_2_time5,train,2022,-0.47177836066424406,-0.48712533409095815,0.7552942406254561
daily_breakout_2_time5,train,2023,-0.29555778815177525,-0.4715522306558074,0.7975067232557848
daily_breakout_2_time5,train,2024,-0.35361368667323034,-0.4549985760162639,0.7687388001215278
daily_breakout_2_time5,test,2025,0.20560452079179914,-0.27531135322870703,0.7733066141470643
daily_breakout_2_time5,test,2026,0.24190272973094262,-0.24010924085736673,0.7008995785611754
daily_breakout_2_time5_market_ma20,train,2021,0.08191388347520023,-0.17139737973801483,0.42898649835026526
daily_breakout_2_time5_market_ma20,train,2022,-0.47322214503566473,-0.48685972759429696,0.3105544850114943
daily_breakout_2_time5_market_ma20,train,2023,-0.20137891634582405,-0.3351667576222248,0.34472977582253644
daily_breakout_2_time5_market_ma20,train,2024,-0.27188981199142437,-0.31808069377536397,0.36963655907184373
daily_breakout_2_time5_market_ma20,test,2025,0.34880336100079945,-0.21991842341785028,0.5526615269290586
daily_breakout_2_time5_market_ma20,test,2026,0.14783566246702295,-0.16948652837616907,0.4507311152748838
daily_breakout_2_time5_market_ma60,train,2021,-0.05673913063720004,-0.18253226799677003,0.3884458693253765
daily_breakout_2_time5_market_ma60,train,2022,-0.1880820542885937,-0.3668760368541535,0.22728937019918402
daily_breakout_2_time5_market_ma60,train,2023,0.006649256999176956,-0.22250640322045057,0.24412718654946347
daily_breakout_2_time5_market_ma60,train,2024,0.11149409804026589,-0.21735728176525337,0.3964598291067474
daily_breakout_2_time5_market_ma60,test,2025,0.16411489837959947,-0.20505374499568985,0.5585577890699398
daily_breakout_2_time5_market_ma60,test,2026,-0.21850577293132056,-0.33061133415074595,0.5247520364958241
daily_breakout_2_time10,train,2021,0.5530255140899967,-0.19925109979790767,0.7040006948731024
daily_breakout_2_time10,train,2022,-0.08438319967756014,-0.2709722583676434,0.7250778316033942
daily_breakout_2_time10,train,2023,-0.524214286707702,-0.6003896278641537,0.7480969844661403
daily_breakout_2_time10,train,2024,0.01475670776223148,-0.3314935823244176,0.763222033347653
daily_breakout_2_time10,test,2025,0.09155035968070124,-0.2930163455253435,0.77025451205802
daily_breakout_2_time10,test,2026,0.41379882916068644,-0.21348787265296765,0.7151029867970655
daily_breakout_4_time10,train,2021,-0.004313845073599887,-0.302364851191691,0.7638746105233036
daily_breakout_4_time10,train,2022,-0.37106167838620796,-0.3927044978933376,0.7741649665329242
daily_breakout_4_time10,train,2023,-0.3350294014348053,-0.4951438301480099,0.8100044943580199
daily_breakout_4_time10,train,2024,-0.37652647175196263,-0.4878380907450701,0.766762942011551
daily_breakout_4_time10,test,2025,0.12999523771349963,-0.2098630789371213,0.7778473734718762
daily_breakout_4_time10,test,2026,0.06719870006580786,-0.17791004814763345,0.7103215613235948
momentum5_4_time10,train,2021,-0.24386611889159993,-0.33519897958041767,0.829276967203209
momentum5_4_time10,train,2022,-0.7082502240702083,-0.7138788567413616,0.8233383561103571
momentum5_4_time10,train,2023,-0.2714469598430901,-0.4505929672856984,0.8577774153617043
momentum5_4_time10,train,2024,-0.37055943568885397,-0.42433064521311703,0.8239056053412254
momentum5_4_time10,test,2025,0.01008226601690021,-0.324549355843909,0.8513629848989868
momentum5_4_time10,test,2026,-0.026717912626483264,-0.3259250183989232,0.7638216561395762
risk_adjusted20_4_ma20,train,2021,0.55942696056,-0.17245076051723307,0.8923800953904337
risk_adjusted20_4_ma20,train,2022,-0.42908458041722686,-0.4304696103424215,0.9205102406049266
risk_adjusted20_4_ma20,train,2023,-0.038953433034952356,-0.2729834373431026,0.9410259981251186
risk_adjusted20_4_ma20,train,2024,-0.044196235012024965,-0.28771233651873307,0.9466451093498652
risk_adjusted20_4_ma20,test,2025,-0.020937878236898855,-0.20464249582519978,0.9345254836975602
risk_adjusted20_4_ma20,test,2026,0.043063745643407536,-0.2025354552536388,0.906201877683147
risk_adjusted20_6_ma20,train,2021,0.27339744308000014,-0.19581030811603384,0.891396518526451
risk_adjusted20_6_ma20,train,2022,-0.31965475115009157,-0.35529513703962534,0.9203817507239943
risk_adjusted20_6_ma20,train,2023,-0.14164025715835782,-0.3185276003648334,0.939261255297242
risk_adjusted20_6_ma20,train,2024,0.09800139392695173,-0.2357795422803386,0.9461426927467647
risk_adjusted20_6_ma20,test,2025,-0.09515636436069996,-0.24300289493410032,0.9328591258758974
risk_adjusted20_6_ma20,test,2026,0.02730169479276401,-0.2365963388483706,0.8855104868499799
reversal10_4_time5,train,2021,-0.0719886607475998,-0.32204343498356247,0.884394105308099
reversal10_4_time5,train,2022,-0.25369243096755634,-0.35064245917153825,0.8870361650313091
reversal10_4_time5,train,2023,0.0487242776306247,-0.25039532606911763,0.9169256220668296
reversal10_4_time5,train,2024,-0.34912210114716213,-0.5001299443685832,0.8376725834730422
reversal10_4_time5,test,2025,-0.14929800099419877,-0.23345956053201977,0.8804134938698241
reversal10_4_time5,test,2026,-0.32934804089709135,-0.40428912471743106,0.8708093993972886
