strategy,split,start_date,end_date,total_return,annual_return,annual_volatility,max_drawdown,sharpe,sortino,calmar,trades,win_rate,profit_factor,average_trade_return,average_holding_days,average_entry_gap,turnover,average_exposure,final_equity,benchmark_total_return,benchmark_max_drawdown,equal_weight_total_return,equal_weight_max_drawdown,excess_total_return,excess_vs_equal_weight,buy_attempts,buy_blocked_limit,buy_capacity_limited,sell_blocked_limit,sell_blocked_suspension,t1_stop_triggered,market_gate_blocked_days,open_positions_at_end,horizon,strategy_origin,trading_days,positions_observed,short_sample_warning,validation_status,return_rank
daily_breakout_2_time5_market_ma60,1_month,2026-07-01,2026-07-31,-0.14059695388400006,-0.8236987991561738,0.31849239794439216,-0.1527614987278212,-5.264667305657038,-3.5382196225156592,-5.392057593149028,6,0.16666666666666666,0.2121370711671391,-0.049406654201264576,1.0,-0.017327814644790274,6.2617297229375,0.12633773195427583,859403.0461159999,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,-0.03855379211458898,-0.10420939995472178,6,0,0,0,0,4,17,0,1_month,first_pass_new,23,6,True,frozen_before_horizon_comparison,13
daily_rank_no_touch_10_time1,1_month,2026-07-01,2026-07-31,-0.1477624574126999,-0.8398216028549161,0.49206821972587916,-0.19736150738968583,-3.4625377972039093,-6.2502612102206285,-4.255245179074901,205,0.424390243902439,0.5694750036082273,-0.009641320076051589,1.0,-0.008907882008824003,39.420422189858606,0.8834729913941841,852237.5425873001,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,-0.045719295643288804,-0.1113749034834216,220,0,0,0,0,21,0,10,1_month,first_pass_new,23,215,True,frozen_before_horizon_comparison,14
posthoc_risk20_4_ma60_hold40,1_month,2026-07-01,2026-07-31,-0.16734081067100004,-0.8772592320808202,0.38555184334077025,-0.21732675853100003,-5.222511308938952,-6.717566395645373,-4.0365909748554305,9,0.0,0.0,-0.1016045147050592,2.6666666666666665,-0.0023628246859706487,5.291241931218092,0.8389711937513964,832659.189329,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,-0.06529764890158896,-0.13095325674172176,13,0,0,0,0,0,0,4,1_month,posthoc_new,23,13,True,posthoc_test_seen_not_validated,15
posthoc_risk20_4_ma60_hold60,1_month,2026-07-01,2026-07-31,-0.16734081067100004,-0.8772592320808202,0.38555184334077025,-0.21732675853100003,-5.222511308938952,-6.717566395645373,-4.0365909748554305,9,0.0,0.0,-0.1016045147050592,2.6666666666666665,-0.0023628246859706487,5.291241931218092,0.8389711937513964,832659.189329,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,-0.06529764890158896,-0.13095325674172176,13,0,0,0,0,0,0,4,1_month,posthoc_new,23,13,True,posthoc_test_seen_not_validated,15
risk_adjusted20_4_ma20,1_month,2026-07-01,2026-07-31,-0.17843885908730017,-0.8947459701782678,0.4585915298360347,-0.21894452193730018,-4.655327531420713,-6.292047697827223,-4.086633281624187,15,0.06666666666666667,0.12143988964019625,-0.060842439817202346,3.2,-0.0018462437831968956,8.228086872536883,0.8158936324447772,821561.1409126999,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,-0.07639569731788909,-0.1420513051580219,19,0,0,0,0,3,0,4,1_month,first_pass_new,23,19,True,frozen_before_horizon_comparison,17
daily_rank_no_touch_10_time2,1_month,2026-07-01,2026-07-31,-0.19233858926800051,-0.9134326385681841,0.45918857857524836,-0.23059598110088186,-5.0713764149615,-8.012924278712292,-3.961181952119854,100,0.38,0.4024687309812437,-0.022111155288562535,1.73,-0.011186303875733912,19.854641628957634,0.7948723182795429,807661.4107319994,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,-0.09029542749858943,-0.15595103533872223,111,0,0,0,0,16,0,10,1_month,first_pass_new,23,110,True,frozen_before_horizon_comparison,18
daily_rank_10_time2,1_month,2026-07-01,2026-07-31,-0.21305352386100018,-0.9357165012138366,0.42245430796868383,-0.21925623260100024,-6.249193123878922,-9.26772224544298,-4.267684845778783,100,0.32,0.41134891003743196,-0.024834134176107376,1.66,-0.0015240713989658095,20.066422944308325,0.7734730518942051,786946.4761389998,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,-0.1110103620915891,-0.1766659699317219,111,0,0,0,0,14,0,10,1_month,first_pass_new,23,110,True,frozen_before_horizon_comparison,19
daily_rank_10_time1,1_month,2026-07-01,2026-07-31,-0.21890242594319975,-0.9409815423861162,0.49298819596816945,-0.23978025083057597,-5.460219153285079,-9.242756082683618,-3.9243496456720086,204,0.4019607843137255,0.5401695737231734,-0.012805546171121712,1.0,-0.00028520560544843457,39.483496155482435,0.8812613277825202,781097.5740568002,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,-0.11685926417378867,-0.18251487201392147,220,1,0,0,0,26,0,10,1_month,first_pass_new,23,214,True,frozen_before_horizon_comparison,20
momentum5_4_time10,1_month,2026-07-01,2026-07-31,-0.26151759275920017,-0.9689618158629825,0.4273787897402125,-0.28189869720920013,-7.855206628427123,-16.211318178906527,-3.4372695775316235,28,0.07142857142857142,0.07563164060236131,-0.048635876156375664,2.25,-0.015587632919005738,14.631153774284769,0.7673313424400307,738482.4072407999,-0.10204316176941108,-0.11342938555433024,-0.03638755392927828,-0.07993007592327472,-0.15947443098978908,-0.22513003882992189,32,0,0,0,0,8,0,4,1_month,first_pass_new,23,32,True,frozen_before_horizon_comparison,21
daily_breakout_2_fixed,3_months,2026-05-01,2026-07-31,0.41933885978869956,3.2490328697847373,0.5958882790022142,-0.14223097890367242,2.733186928759083,4.5830753790734855,22.8433558907387,44,0.5454545454545454,1.4978147201935132,0.01606544729613364,1.7272727272727273,-0.0018616833009940153,43.999146077909764,0.6118755310959624,1419338.8597886995,-0.07862528198854357,-0.12169285646599992,-0.07031504572724889,-0.1341800105640888,0.49796414177724313,0.48965390551594845,46,0,2,0,0,10,0,2,3_months,existing_git,62,46,True,frozen_before_horizon_comparison,1
