strategy,split,start_date,end_date,total_return,annual_return,annual_volatility,max_drawdown,sharpe,sortino,calmar,trades,win_rate,profit_factor,average_trade_return,average_holding_days,average_entry_gap,turnover,average_exposure,final_equity,benchmark_total_return,benchmark_max_drawdown,equal_weight_total_return,equal_weight_max_drawdown,excess_total_return,excess_vs_equal_weight,buy_attempts,buy_blocked_limit,buy_capacity_limited,sell_blocked_limit,sell_blocked_suspension,t1_stop_triggered,market_gate_blocked_days,open_positions_at_end,cost_case
daily_breakout_2_time2,train,2021-01-01,2024-12-31,-0.9609956675914991,-0.5702423730246764,0.3909258286492459,-0.9730933158540517,-1.9617389501167837,-3.3214017020349416,-0.5860099578673948,949,0.3898840885142255,0.7868689441982827,-0.006256319357501042,1.6533192834562698,-0.0036727928718650665,896.1950666024962,0.7655723074451964,39004.33240850089,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190157,-0.7366216647953826,-0.9938301117291063,963,1,48,0,0,107,0,2,high_10bp_slippage_5bp_commission
daily_breakout_2_time2,test,2025-01-01,2026-07-31,0.857034189155502,0.5059208219932925,0.4340960198783229,-0.34927299443038573,1.1600838716114066,1.9560156146580827,1.4484968207129123,379,0.48284960422163586,1.1314812489709933,0.0036381586156115026,1.6174142480211082,-0.0035115234936278668,354.67654698765483,0.7497831445105462,1857034.189155502,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,0.617655301718413,0.6120569257753101,381,0,56,0,0,50,0,2,high_10bp_slippage_5bp_commission
daily_breakout_2_time5_market_ma60,train,2021-01-01,2024-12-31,0.52890258,0.1168624853335325,0.24970053082759391,-0.33588575158097966,0.5669423270523254,0.6848877364842646,0.34792331851968356,240,0.45416666666666666,1.1641071926687048,0.004708581061428446,2.683333333333333,-0.00232716185924446,232.1625709948657,0.3103740266998477,1528902.58,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190157,0.7532765827961165,0.49606813586239284,242,0,41,0,0,32,567,2,zero_friction
daily_breakout_2_time5_market_ma60,test,2025-01-01,2026-07-31,0.08355612999999984,0.054511520020603665,0.3644829725247747,-0.27206890129332995,0.3273399082168939,0.4581630206848567,0.2003592463580845,164,0.4146341463414634,1.0313998056368734,0.0024811377609498014,2.6707317073170733,-0.00196098641627005,161.2801898437244,0.5490471108180444,1083556.13,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.15582275743708918,-0.16142113338019204,164,0,7,0,0,27,107,0,zero_friction
daily_breakout_2_time5_market_ma60,train,2021-01-01,2024-12-31,-0.14310166829040083,-0.039406938891739185,0.25485433862885953,-0.39305132144974353,-0.03053177498439575,-0.03548675059730437,-0.10025901642154343,239,0.41422594142259417,0.9595585576078604,-0.0004943793628030107,2.6736401673640167,-0.001991673641284868,234.51325365878495,0.3141573081765449,856898.3317095991,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190157,0.0812723345057157,-0.175936112428008,241,0,24,0,0,34,569,2,base
daily_breakout_2_time5_market_ma60,test,2025-01-01,2026-07-31,-0.0902509272716997,-0.060644356404366384,0.3628757713736782,-0.33168344463050414,0.008618514923329346,0.012119865485967232,-0.18283805654492127,165,0.41818181818181815,0.9651812288721009,0.0003354597624321695,2.6363636363636362,-0.0018534109567893153,162.1933603334059,0.5462567429762171,909749.0727283004,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.3296298147087887,-0.3352281906518916,165,0,8,0,0,28,107,0,base
daily_breakout_2_time5_market_ma60,train,2021-01-01,2024-12-31,-0.2480449446200006,-0.07152767895893575,0.25601787170738644,-0.41965479518450766,-0.1619292321238535,-0.1864242900646251,-0.17044408828329366,239,0.41422594142259417,0.9210054103774703,-0.001589341943141176,2.6694560669456067,-0.001991673641284868,235.23616535903253,0.3149557797210997,751955.0553799995,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190157,-0.023670941823884073,-0.28087938875760776,241,0,20,0,0,34,569,2,high_10bp_slippage_5bp_commission
daily_breakout_2_time5_market_ma60,test,2025-01-01,2026-07-31,-0.20100614018009977,-0.13793394561285466,0.3707819116382145,-0.38535238939706873,-0.2153350077206867,-0.3042252327641589,-0.3579423649835656,164,0.40853658536585363,0.9200696527087884,-0.0012123781432056327,2.658536585365854,-0.0015492952000518822,161.08783591058756,0.5485321064286195,798993.8598199002,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.4403850276171888,-0.44598340356029165,164,0,5,0,0,28,107,0,high_10bp_slippage_5bp_commission
risk_adjusted20_4_ma20,train,2021-01-01,2024-12-31,0.20293543999999986,0.049275493053042574,0.29342769203216756,-0.44641068008524576,0.3105624804597156,0.49132476839689215,0.11038152815616557,441,0.36281179138321995,1.0378060276521504,0.003421249020655229,8.2562358276644,-0.0014459004403184442,216.37853833748042,0.9261419496524829,1202935.44,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190157,0.4273094427961164,0.1701009958623927,445,0,0,0,0,4,0,4,zero_friction
risk_adjusted20_4_ma20,test,2025-01-01,2026-07-31,0.26032802,0.16536397407521264,0.28260872980553464,-0.19101297258169925,0.6829328954259504,1.0202365782733522,0.8657211698251744,172,0.3546511627906977,1.1445005089517695,0.0060373620520235765,8.267441860465116,-0.00020929707484491813,85.51594293087656,0.9227134591008725,1260328.02,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,0.020949132562910977,0.015350756619808115,176,0,0,0,0,5,0,4,zero_friction
risk_adjusted20_4_ma20,train,2021-01-01,2024-12-31,-0.18219458894630058,-0.051013315638877565,0.2894191177472614,-0.5654832896374833,-0.0362232798035988,-0.05716740349547698,-0.09021188879264828,443,0.35214446952595935,0.9590996804929909,-0.00022493435097387042,8.216704288939052,-0.001323102870027518,218.20727508947263,0.9251065525440803,817805.4110536994,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190157,0.04217941384981594,-0.21502903308390775,447,0,0,0,0,4,0,4,base
risk_adjusted20_4_ma20,test,2025-01-01,2026-07-31,0.021224203943800646,0.013988088204749838,0.2788198640151923,-0.20464249582519978,0.1896430666013964,0.27757765183320277,0.06835378032477718,171,0.3333333333333333,0.9987733418208959,0.0009108760735187071,8.304093567251462,-0.00028309411096934315,84.56594886889471,0.9242192500954568,1021224.2039438006,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.21815468349328837,-0.22375305943639123,175,0,0,0,0,5,0,4,base
