strategy,split,start_date,end_date,total_return,annual_return,annual_volatility,max_drawdown,sharpe,sortino,calmar,trades,win_rate,profit_factor,average_trade_return,average_holding_days,average_entry_gap,turnover,average_exposure,final_equity,benchmark_total_return,benchmark_max_drawdown,equal_weight_total_return,equal_weight_max_drawdown,excess_total_return,excess_vs_equal_weight,buy_attempts,buy_blocked_limit,buy_capacity_limited,sell_blocked_limit,sell_blocked_suspension,t1_stop_triggered,market_gate_blocked_days,open_positions_at_end,cost_case,validation_status
posthoc_risk20_4_ma60_hold60,train,2021-01-01,2024-12-31,-0.5059345913045998,-0.16769456940633387,0.3016383197608379,-0.5932594931271183,-0.4575970564565092,-0.7124910527686661,-0.2826664745344442,124,0.31451612903225806,0.6035742026220309,-0.020066606261343437,30.20967741935484,3.800414852759264e-05,58.56449418616379,0.9678108552845736,494065.4086954002,-0.22437400279611652,-0.4295736613831076,0.03283444413760517,-0.3170221301190169,-0.2815605885084833,-0.538769035442205,128,0,0,0,0,2,0,4,high_10bp_slippage_5bp_commission,posthoc_test_seen_not_validated
posthoc_risk20_4_ma60_hold60,test_seen_posthoc,2025-01-01,2026-07-31,0.190801738402,0.12243585830291481,0.33063634678109277,-0.3038200545346955,0.5138920257122181,0.7358543055430881,0.40298807295794536,45,0.28888888888888886,1.1951416790417122,0.02960990446173895,32.422222222222224,0.0006953654888211301,21.66455462739787,0.9649510918075574,1190801.738402,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.04857714903508903,-0.05417552497819189,49,0,0,0,0,0,0,4,high_10bp_slippage_5bp_commission,posthoc_test_seen_not_validated
posthoc_risk20_6_ma60_hold40,train,2021-01-01,2024-12-31,-0.41657894000000006,-0.13088351954628552,0.2749100383014259,-0.5717162122476611,-0.3726001834045462,-0.5644062416726806,-0.22893092191968178,235,0.2936170212765957,0.7318902965484091,-0.013773746292161028,23.948936170212765,-0.00031281060830136697,74.69630195464842,0.9656065314136102,583421.0599999999,-0.22437400279611652,-0.4295736613831076,0.03283444413760517,-0.3170221301190169,-0.19220493720388354,-0.44941338413760523,241,0,0,0,0,0,0,6,zero_friction,posthoc_test_seen_not_validated
posthoc_risk20_6_ma60_hold40,test_seen_posthoc,2025-01-01,2026-07-31,0.15877348000000002,0.10237599549268528,0.277629104987604,-0.25146711066176375,0.4906010959001795,0.6590517527632735,0.40711485181211743,88,0.3068181818181818,1.1187802209246516,0.014939278593551687,24.704545454545453,0.0005043084267128734,28.773677180207986,0.9598184261722761,1158773.48,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.080605407437089,-0.08620378338019186,94,0,0,0,0,0,0,6,zero_friction,posthoc_test_seen_not_validated
posthoc_risk20_6_ma60_hold40,train,2021-01-01,2024-12-31,-0.49642877593660006,-0.16355508938711216,0.27104815790569786,-0.6242898884586403,-0.523010049507535,-0.7825972302059867,-0.26198580565020285,234,0.2948717948717949,0.6765116777723997,-0.016999349461986453,24.02991452991453,-0.0004988526372015605,74.89592681026055,0.9646736843903884,503571.2240633999,-0.22437400279611652,-0.4295736613831076,0.03283444413760517,-0.3170221301190169,-0.27205477314048354,-0.5292632200742052,241,0,0,0,0,0,0,6,base,posthoc_test_seen_not_validated
posthoc_risk20_6_ma60_hold40,test_seen_posthoc,2025-01-01,2026-07-31,0.12340515631359983,0.08000473348606207,0.2787682851756246,-0.254383057448192,0.4161914294808386,0.5581167407783705,0.314504960702251,88,0.3068181818181818,1.0841333521399823,0.012377493633030878,24.693181818181817,0.0005043084267128734,28.724948076200622,0.9602041110243128,1123405.1563135998,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.11597373112348919,-0.12157210706659205,94,0,0,0,0,0,0,6,base,posthoc_test_seen_not_validated
posthoc_risk20_6_ma60_hold40,train,2021-01-01,2024-12-31,-0.45323402745270014,-0.14544167908164407,0.2765499490673241,-0.5897591346379626,-0.42975690637864017,-0.6432820403822094,-0.24661199893228758,233,0.2875536480686695,0.7055842101571819,-0.015684608031182927,24.145922746781117,-0.00021625677443966955,74.18489008143469,0.9654855010457731,546765.9725472998,-0.22437400279611652,-0.4295736613831076,0.03283444413760517,-0.3170221301190169,-0.22886002465658362,-0.4860684715903053,239,0,0,0,0,0,0,6,high_10bp_slippage_5bp_commission,posthoc_test_seen_not_validated
posthoc_risk20_6_ma60_hold40,test_seen_posthoc,2025-01-01,2026-07-31,0.10630704102809996,0.06910443820619094,0.27885058192090595,-0.2564661528704252,0.37977613326069015,0.5093617763757516,0.269448570241176,88,0.3068181818181818,1.0681675492968434,0.011252546082363707,24.693181818181817,0.0005043084267128734,28.719582988656082,0.9600705946108379,1106307.0410281,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.13307184640898906,-0.13867022235209192,94,0,0,0,0,0,0,6,high_10bp_slippage_5bp_commission,posthoc_test_seen_not_validated
posthoc_risk20_6_ma60_hold60,train,2021-01-01,2024-12-31,-0.40330966,-0.12578025886926847,0.27067308399090567,-0.5409603524740714,-0.3610378708182407,-0.5441061121837364,-0.23251289728353466,191,0.3089005235602094,0.6782973460385637,-0.015925787375171196,29.408376963350786,-6.046927037189694e-06,59.7072757851152,0.9700116652118701,596690.34,-0.22437400279611652,-0.4295736613831076,0.03283444413760517,-0.3170221301190169,-0.1789356572038835,-0.4361441041376052,197,0,0,0,0,1,0,6,zero_friction,posthoc_test_seen_not_validated
posthoc_risk20_6_ma60_hold60,test_seen_posthoc,2025-01-01,2026-07-31,0.17052369000000023,0.10975689990089643,0.298980414609536,-0.22765087478960377,0.497582565366494,0.7121145793909713,0.482128171052865,67,0.2835820895522388,1.2066802579538414,0.019914807174342034,32.82089552238806,-0.0007910673719562272,21.52718260825423,0.9660164283850989,1170523.6900000002,0.23937888743708902,-0.12169285646600014,0.24497726338019188,-0.13418001056408824,-0.06885519743708879,-0.07445357338019165,73,0,0,0,0,0,0,6,zero_friction,posthoc_test_seen_not_validated
