strategy,split,start_date,end_date,total_return,annual_return,annual_volatility,max_drawdown,sharpe,sortino,calmar,trades,win_rate,profit_factor,average_trade_return,average_holding_days,average_entry_gap,turnover,average_exposure,final_equity,benchmark_total_return,benchmark_max_drawdown,equal_weight_total_return,equal_weight_max_drawdown,excess_total_return,excess_vs_equal_weight,buy_attempts,buy_blocked_limit,buy_capacity_limited,sell_blocked_limit,sell_blocked_suspension,t1_stop_triggered,market_gate_blocked_days,open_positions_at_end
daily_breakout_2_time5_market_ma60,train,2021-01-01,2024-12-31,-0.14310166829040083,-0.039406938891739185,0.25485433862885953,-0.39305132144974353,-0.03053177498439575,-0.03548675059730437,-0.10025901642154343,239,0.41422594142259417,0.9595585576078604,-0.0004943793628030107,2.6736401673640167,-0.001991673641284868,234.51325365878495,0.3141573081765449,856898.3317095991,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,0.0812723345057157,-0.175936112428008,241,0,24,0,0,34,569,2
risk_adjusted20_4_ma20,train,2021-01-01,2024-12-31,-0.18219458894630058,-0.051013315638877565,0.2894191177472614,-0.5654832896374833,-0.0362232798035988,-0.05716740349547698,-0.09021188879264828,443,0.35214446952595935,0.9590996804929909,-0.00022493435097387042,8.216704288939052,-0.001323102870027518,218.20727508947263,0.9251065525440803,817805.4110536994,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,0.04217941384981594,-0.21502903308390775,447,0,0,0,0,4,0,4
risk_adjusted20_6_ma20,train,2021-01-01,2024-12-31,-0.18348237778269938,-0.05140256961534284,0.2643823092782017,-0.5406370965105454,-0.06740753767913156,-0.10561099778592135,-0.09507777018468101,652,0.34049079754601225,0.9491808106854464,-0.0006554496441378838,8.357361963190185,-0.0013434530961449558,213.49472432376749,0.9242616027902826,816517.6222173006,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,0.04089162501341714,-0.21631682192030655,661,0,0,2,0,10,0,6
daily_breakout_2_time10,train,2021-01-01,2024-12-31,-0.313460275682403,-0.09326771442641191,0.3457504069305076,-0.7161737705177627,-0.1111931453047429,-0.19244989222569853,-0.13023056451646278,402,0.41044776119402987,0.953439000809326,-0.001659706425031032,3.9328358208955225,-0.004576410477513323,363.1097750572653,0.7350672924800035,686539.724317597,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,-0.08908627288628646,-0.34629471982001014,404,0,71,0,0,53,0,2
daily_breakout_2_fixed,train,2021-01-01,2024-12-31,-0.4667387259784994,-0.15098738312976256,0.32145682288154703,-0.6557662712426818,-0.34903075843229603,-0.5937327915710403,-0.23024572892966938,336,0.37202380952380953,0.9018292372999466,-0.004129809494961232,4.711309523809524,-0.005416842342052508,319.4096193355749,0.7519092041011798,533261.2740215006,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,-0.2423647231823829,-0.4995731701161066,339,1,32,0,0,42,0,2
reversal10_4_time5,train,2021-01-01,2024-12-31,-0.5272495227819005,-0.17719531843943204,0.29679180254136606,-0.6907829449360705,-0.5084486168790726,-0.810137414949527,-0.2565137424691787,847,0.4498229043683589,0.879610825249957,-0.0025980485729828664,4.152302243211334,-0.0005745036688824169,414.686276926569,0.8815100983158863,472750.4772180994,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,-0.302875519985784,-0.5600839669195077,853,0,0,2,0,10,0,4
daily_breakout_2_time5,train,2021-01-01,2024-12-31,-0.755959071771201,-0.307311779914087,0.3623429829656761,-0.8380337009326422,-0.8315702056164667,-1.3576396968859261,-0.36670575368518205,541,0.38817005545286504,0.8465050513951099,-0.004701027681800837,2.8613678373382623,-0.003387471798711253,518.0248559206942,0.7648610572930812,244040.92822879896,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,-0.5315850689750845,-0.7887935159088082,544,1,34,0,0,66,0,2
daily_breakout_2_time5_market_ma20,train,2021-01-01,2024-12-31,-0.6685957430715002,-0.24987344132745803,0.2507011981028421,-0.7424642727667563,-1.0203189447361607,-1.140402990354705,-0.33654608106100115,266,0.38345864661654133,0.778325822810515,-0.007167276723890097,2.7518796992481205,-0.002364129897744275,256.57562087886015,0.3635444350013789,331404.2569284999,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,-0.44422174027538364,-0.7014301872091073,270,0,18,0,0,37,525,2
daily_breakout_4_time10,train,2021-01-01,2024-12-31,-0.7403723227724008,-0.2960567419389164,0.2692347198664958,-0.7681403039708005,-1.1683761171167906,-1.9279733183133547,-0.3854201379728286,836,0.37440191387559807,0.8374149044120717,-0.0059141962525475315,3.714114832535885,-0.004143241661648477,407.55356081026144,0.7786864518674578,259627.67722759917,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,-0.5159983199762843,-0.773206766910008,841,1,7,0,0,104,0,3
daily_breakout_2_time2,train,2021-01-01,2024-12-31,-0.9243212132018024,-0.48930371941963113,0.39473967312762337,-0.9486684474644643,-1.5033211967852635,-2.5756578807920203,-0.515779480942376,953,0.40398740818467993,0.8184639189071717,-0.004777864754521519,1.6568730325288563,-0.003717516035953577,895.8979867869257,0.774046578129365,75678.78679819763,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,-0.6999472104056859,-0.9571556573394095,959,1,51,0,0,105,0,2
momentum5_4_time10,train,2021-01-01,2024-12-31,-0.8988362005231005,-0.44922069077671756,0.30980633497790355,-0.9159253876736341,-1.767865097346379,-2.9015769972117122,-0.4904555510986508,973,0.30421377183967113,0.730775130711223,-0.008995939639961405,3.4645426515930113,-0.004365226940275851,472.41806408742724,0.8335701508970024,101163.79947689944,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,-0.674462197726984,-0.9316706446607077,992,0,2,2,0,77,0,3
daily_rank_no_touch_10_time2,train,2021-01-01,2024-12-31,-0.8762927592453006,-0.4196062907346275,0.27837086163260544,-0.8948368540523792,-1.8151112788046695,-3.019896623337638,-0.46891932181200247,4703,0.4167552625983415,0.795067391528053,-0.004368852171538034,1.9257920476291728,-0.002912027691825673,890.6492826682575,0.8649426480536768,123707.24075469936,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,-0.6519187564491841,-0.9091272033829078,4972,1,0,0,0,79,0,7
daily_rank_10_time2,train,2021-01-01,2024-12-31,-0.9167655579107004,-0.47649374594059823,0.27491643025634377,-0.932551764690321,-2.214441992207521,-3.636618229599004,-0.5109568862365843,4666,0.41598799828546934,0.7934426286848185,-0.004989735355993789,1.8902700385769395,0.003850799183731128,894.2426506609479,0.8424568678208583,83234.44208929966,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,-0.6923915551145838,-0.9496000020483075,4996,17,0,0,2,176,0,7
daily_breakout_2_time3,train,2021-01-01,2024-12-31,-0.9742675850127015,-0.614344542844687,0.37464223506349204,-0.9748186653545998,-2.3495000086614373,-3.4922348880333813,-0.6302141769322945,715,0.3734265734265734,0.6709138908377059,-0.00979343385639588,2.14965034965035,-0.004620869837118396,692.0128508432078,0.749436910491778,25732.414987298547,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,-0.749893582216585,-1.0071020291503086,730,1,14,0,0,88,0,1
daily_breakout_2_time1,train,2021-01-01,2024-12-31,-0.9869472725775008,-0.6768088787854682,0.4180144108737908,-0.9872047146457195,-2.484455809303816,-3.5707271383296484,-0.6855810843937838,1808,0.40099557522123896,0.7773678044351622,-0.0045499333100053815,1.0,-0.003694036131750981,1795.1154805142123,0.8836168291130249,13052.727422499142,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,-0.7625732697813843,-1.019781716715108,1894,1,47,0,19,195,0,2
daily_rank_no_touch_10_time1,train,2021-01-01,2024-12-31,-0.9760373132858013,-0.6214323128013799,0.22288003859211186,-0.9778595688307195,-4.238123617715159,-6.271868220436001,-0.635502614700044,7940,0.3924433249370277,0.7266644904497603,-0.0052208128141560586,1.0,-0.0028070297751801947,1696.6818380135487,0.7241191504585243,23962.686714198604,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,-0.7516633104896848,-1.0088717574234085,9680,2,0,0,8,136,0,4
daily_rank_10_time1,train,2021-01-01,2024-12-31,-0.9818206943575016,-0.6476982914286753,0.2363280177377224,-0.9822402393495364,-4.2868685481033495,-6.381809229852911,-0.659409241732549,7791,0.3971248876909254,0.7628328482841263,-0.005704243946951765,1.0005134129123348,0.002446997993117621,1711.125401525468,0.7137531575328443,18179.30564249833,-0.22437400279611652,-0.4295736613831076,0.032834444137607166,-0.3170221301190158,-0.7574466915613851,-1.0146551384951088,9680,37,0,4,19,260,0,4
